metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1730305221,1.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_duration,1730305221,218.508000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_blocked,1730305221,11.003917,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_connecting,1730305221,0.678292,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_tls_handshaking,1730305221,0.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_sending,1730305221,3.112041,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_waiting,1730305221,210.631042,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_receiving,1730305221,4.764917,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_failed,1730305221,0.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
checks,1730305221,1.000000,deposit status is 200,,,,,,,,default,,,,,,,
vus,1730305222,1.000000,,,,,,,,,,,,,,,,
vus_max,1730305222,1.000000,,,,,,,,,,,,,,,,
http_reqs,1730305222,1.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_duration,1730305222,15.079959,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_blocked,1730305222,0.239041,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_connecting,1730305222,0.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_tls_handshaking,1730305222,0.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_sending,1730305222,0.190084,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_waiting,1730305222,14.478041,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_receiving,1730305222,0.411834,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
http_req_failed,1730305222,0.000000,,,,true,,POST,http://finance:9501/transaction,HTTP/1.1,default,,200,,,http://finance:9501/transaction,,
checks,1730305222,1.000000,sake status is 200,,,,,,,,default,,,,,,,
vus,1730305223,1.000000,,,,,,,,,,,,,,,,
vus_max,1730305223,1.000000,,,,,,,,,,,,,,,,
http_reqs,1730305223,1.000000,,,,true,,POST,http://finance:9501/transfer,HTTP/1.1,default,,200,,,http://finance:9501/transfer,,
http_req_duration,1730305223,55.120125,,,,true,,POST,http://finance:9501/transfer,HTTP/1.1,default,,200,,,http://finance:9501/transfer,,
